Clade	RGB
AY.112	rgb(15.847457627118645, 0.0, 239.15254237288136)
AY.112.1	rgb(16.0075329566855, 0.0, 238.9924670433145)
AY.113	rgb(16.167608286252353, 0.0, 238.83239171374765)
AY.114	rgb(16.32768361581921, 0.0, 238.6723163841808)
AY.116	rgb(16.487758945386066, 0.0, 238.51224105461392)
AY.116.1	rgb(16.64783427495292, 0.0, 238.3521657250471)
AY.117	rgb(16.807909604519775, 0.0, 238.19209039548022)
AY.118	rgb(16.96798493408663, 0.0, 238.03201506591336)
AY.119	rgb(17.128060263653484, 0.0, 237.87193973634652)
AY.119.1	rgb(17.28813559322034, 0.0, 237.71186440677965)
AY.119.2	rgb(17.448210922787194, 0.0, 237.55178907721282)
AY.120	rgb(17.60828625235405, 0.0, 237.39171374764595)
AY.120.1	rgb(17.768361581920903, 0.0, 237.2316384180791)
AY.120.2	rgb(17.928436911487758, 0.0, 237.07156308851225)
AY.120.2.1	rgb(18.088512241054616, 0.0, 236.91148775894538)
AY.121	rgb(18.24858757062147, 0.0, 236.75141242937852)
AY.121.1	rgb(18.408662900188325, 0.0, 236.59133709981168)
AY.122	rgb(18.56873822975518, 0.0, 236.43126177024482)
AY.122.1	rgb(18.728813559322035, 0.0, 236.27118644067798)
AY.122.2	rgb(18.88888888888889, 0.0, 236.11111111111111)
AY.122.3	rgb(19.048964218455744, 0.0, 235.95103578154425)
AY.122.4	rgb(19.2090395480226, 0.0, 235.7909604519774)
AY.122.5	rgb(19.369114877589453, 0.0, 235.63088512241055)
AY.123	rgb(19.529190207156308, 0.0, 235.47080979284368)
AY.123.1	rgb(19.689265536723166, 0.0, 235.31073446327684)
AY.124	rgb(19.84934086629002, 0.0, 235.15065913370998)
AY.124.1	rgb(20.009416195856875, 0.0, 234.9905838041431)
AY.124.1.1	rgb(20.16949152542373, 0.0, 234.83050847457628)
AY.125	rgb(20.329566854990585, 0.0, 234.6704331450094)
AY.125.1	rgb(20.48964218455744, 0.0, 234.51035781544255)
AY.126	rgb(20.649717514124294, 0.0, 234.3502824858757)
AY.127	rgb(20.80979284369115, 0.0, 234.19020715630884)
AY.127.1	rgb(20.969868173258003, 0.0, 234.030131826742)
AY.127.2	rgb(21.129943502824858, 0.0, 233.87005649717514)
AY.128	rgb(21.290018832391713, 0.0, 233.70998116760828)
